4.51	-26502 	910 	9.1
4.52	-26767 	1170 	11.7
4.53	-27237 	1410 	14.1
4.54	-27561 	1650 	16.5
4.55	-27708 	1910 	19.1
4.56	-27973 	2170 	21.7
4.57	-28120 	2420 	24.2
4.58	-28267 	2680 	26.8
4.59	-28297 	2920 	29.2
4.6	-28326 	3160 	31.6
4.61	-28120 	3400 	34
4.62	-27885 	3620 	36.2
4.63	-27855 	3840 	38.4
4.64	-27532 	4040 	40.4
4.65	-27385 	4230 	42.3
4.66	-27032 	4390 	43.9
4.67	-26561 	4550 	45.5
4.68	-26325 	4680 	46.8
4.69	-25855 	4800 	48
4.7	-25384 	4890 	48.9
4.71	-25090 	4930 	49.3
4.72	-24413 	4890 	48.9
4.73	-24001 	4750 	47.5
4.74	-22442 	4800 	48
4.75	-19764 	5020 	50.2
4.76	-16234 	4730 	47.3
4.77	-2317 	4950 	49.5
4.78	477 	4820 	48.2
4.79	8156 	4660 	46.6
4.8	17748 	4470 	44.7
4.81	21102 	4270 	42.7
4.82	21426 	4040 	40.4
4.83	21955 	3810 	38.1
4.84	22132 	3580 	35.8
4.85	22338 	3320 	33.2
4.86	22485 	3050 	30.5
4.87	22632 	2820 	28.2
4.88	22691 	2560 	25.6
4.89	22779 	2310 	23.1
4.9	22750 	2060 	20.6
4.91	22691 	1810 	18.1
4.92	22661 	1580 	15.8
4.93	22455 	1350 	13.5
4.94	22190 	1140 	11.4
4.95	22043 	950 	9.5
4.96	21690 	780 	7.8
4.97	21514 	620 	6.2
4.98	21308 	490 	4.9
4.99	20925 	370 	3.7
5	20572 	260 	2.6
5.01	19984 	180 	1.8
5.02	19660 	120 	1.2
5.03	18895 	90 	0.9
5.04	18424 	80 	0.8
5.05	17660 	80 	0.8
5.06	15747 	90 	0.9
5.07	13776 	90 	0.9
5.08	9833 	100 	1
5.09	1772 	160 	1.6
5.1	477 	280 	2.8
5.11	-5965 	430 	4.3
5.12	-25737 	620 	6.2
5.13	-26237 	820 	8.2
5.14	-26708 	1030 	10.3
5.15	-26973 	1270 	12.7
5.16	-27414 	1510 	15.1
5.17	-27561 	1760 	17.6
5.18	-27855 	2010 	20.1
5.19	-28091 	2270 	22.7
5.2	-28150 	2530 	25.3
5.21	-28326 	2780 	27.8
5.22	-28356 	3020 	30.2
5.23	-28297 	3260 	32.6
5.24	-28061 	3490 	34.9
5.25	-27944 	3720 	37.2
5.26	-27767 	3930 	39.3
5.27	-27443 	4120 	41.2
5.28	-27267 	4300 	43
5.29	-26884 	4460 	44.6
5.3	-26384 	4610 	46.1
5.31	-26149 	4740 	47.4
5.32	-25708 	4840 	48.4
5.33	-25413 	4790 	47.9
5.34	-24854 	4990 	49.9
5.35	-24030 	4720 	47.2
5.36	-23383 	5010 	50.1
5.37	-21765 	5020 	50.2
5.38	-16763 	4730 	47.3
5.39	-10967 	4990 	49.9
5.4	418 	4890 	48.9
5.41	1389 	4740 	47.4
5.42	17159 	4560 	45.6
5.43	20602 	4370 	43.7
5.44	21396 	4160 	41.6
5.45	21661 	3930 	39.3
5.46	22102 	3700 	37
5.47	22249 	3420 	34.2
5.48	22455 	3200 	32
5.49	22514 	2940 	29.4
5.5	22691 	2690 	26.9
5.51	22691 	2430 	24.3
5.52	22750 	2180 	21.8
5.53	22750 	1940 	19.4
5.54	22691 	1700 	17
5.55	22632 	1470 	14.7
5.56	22338 	1250 	12.5
5.57	22190 	1040 	10.4
5.58	21955 	860 	8.6
5.59	21749 	700 	7
5.6	21337 	550 	5.5
5.61	21161 	420 	4.2
5.62	20602 	310 	3.1
5.63	20337 	220 	2.2
5.64	19690 	150 	1.5
5.65	19337 	100 	1
5.66	18925 	80 	0.8
5.67	17748 	80 	0.8
5.68	16924 	80 	0.8
5.69	13952 	90 	0.9
5.7	10245 	80 	0.8
